Structure,Co,Fe,Ni,Temperature,a1,a2,a3,a,c,Orientation_x,Orientation_y,Orientation_z,NonConventional
DHCP,0.62,0.12,0.25,100,1.23645170530265,1.07079858734468,4.03825126951845,1.153625146323665,4.03825126951845,1 1 0,-1 1 0,0 0 1,True
FCC,0.5,0.5,0.0,350,,,,,,,,,False
DHCP,0.5,0.0,0.5,100,,,,,,,,,False
DHCP,0.5,0.0,0.5,550,,,,,,,,,False
FCC,0.5,0.25,0.25,100,1.774543763223,1.774543763223,1.774543763223,1.774543763223,1.774543763223,1 1 0,-1 1 0,0 0 1,True
FCC,0.5,0.25,0.25,550,1.78273381217439,1.78273381217439,1.78273381217439,1.78273381217439,1.78273381217439,1 1 0,-1 1 0,0 0 1,True
HCP,0.12,0.62,0.25,550,1.2719014830134,1.10149899540072,2.07701512176076,1.18670023920706,2.07701512176076,1 1 0,-1 1 0,0 0 1,True
HCP,0.12,0.62,0.25,100,1.25922685761526,1.09052244782245,2.05631745848564,1.174874652718855,2.05631745848564,1 1 0,-1 1 0,0 0 1,True
DHCP,0.75,0.25,0.0,550,,,,,,,,,False
DHCP,0.75,0.25,0.0,100,,,,,,,,,False
HCP,0.0,0.5,0.5,350,,,,,,,,,False
HCP,0.38,0.38,0.25,350,1.2627704911586,1.09359132449277,2.06210421206199,1.178180907825685,2.06210421206199,1 1 0,-1 1 0,0 0 1,True
DHCP,0.38,0.12,0.5,550,1.25058075605943,1.08303470423145,4.08439674929005,1.16680773014544,4.08439674929005,1 1 0,-1 1 0,0 0 1,True
DHCP,0.38,0.12,0.5,100,1.23783031428079,1.07199249774168,4.0427538064412,1.154911406011235,4.0427538064412,1 1 0,-1 1 0,0 0 1,True
DHCP,0.75,0.0,0.25,550,,,,,,,,,False
DHCP,0.75,0.0,0.25,100,,,,,,,,,False
FCC,0.0,0.5,0.5,550,,,,,,,,,False
FCC,0.0,0.5,0.5,100,,,,,,,,,False
FCC,0.38,0.38,0.25,100,1.77414512669356,1.77414512669356,1.77414512669356,1.77414512669356,1.77414512669356,1 1 0,-1 1 0,0 0 1,True
FCC,0.38,0.38,0.25,550,1.79176051816398,1.79176051816398,1.79176051816398,1.79176051816398,1.79176051816398,1 1 0,-1 1 0,0 0 1,True
HCP,1.0,0.0,0.0,550,,,,,,,,,False
HCP,1.0,0.0,0.0,100,,,,,,,,,False
HCP,0.5,0.25,0.25,350,1.26164348176759,1.09261530572982,2.06026380572655,1.177129393748705,2.06026380572655,1 1 0,-1 1 0,0 0 1,True
FCC,0.12,0.62,0.25,350,1.78751359032413,1.78751359032413,1.78751359032413,1.78751359032413,1.78751359032413,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.5,0.25,350,1.26581404873951,1.0962271226756,2.06707434159157,1.181020585707555,2.06707434159157,1 1 0,-1 1 0,0 0 1,True
HCP,0.5,0.5,0.0,100,,,,,,,,,False
HCP,0.0,0.0,1.0,350,,,,,,,,,False
HCP,0.5,0.5,0.0,550,,,,,,,,,False
HCP,0.12,0.38,0.5,550,1.26376795827025,1.09445515635083,2.06373307585527,1.17911155731054,2.06373307585527,1 1 0,-1 1 0,0 0 1,True
HCP,0.12,0.38,0.5,100,1.25239726535173,1.08460784742483,2.04516473431941,1.16850255638828,2.04516473431941,1 1 0,-1 1 0,0 0 1,True
DHCP,0.0,0.75,0.25,550,,,,,,,,,False
DHCP,0.0,0.75,0.25,100,,,,,,,,,False
FCC,0.0,0.25,0.75,350,,,,,,,,,False
HCP,0.0,1.0,0.0,100,,,,,,,,,False
HCP,0.0,1.0,0.0,550,,,,,,,,,False
DHCP,0.25,0.25,0.5,350,1.23881627158415,1.07284636181337,4.04597394299366,1.15583131669876,4.04597394299366,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.75,0.0,100,,,,,,,,,False
FCC,0.25,0.75,0.0,550,,,,,,,,,False
